"Year","Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
2018,1,"Animal Products",101,"Animals; live",10106,"Other Animals",480024.766935054
2018,1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",73200
2018,1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",10345.999999999998
2018,1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",150118.79235710154
2018,1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",1499296.3009800771
2018,1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",122648223.93872774
2018,1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",14212519.372336745
2018,1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",940529.9620969517
2018,1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",20153273.73674359
2018,1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",24178277.627555437
2018,1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10401,"Milk",15933835.81578288
2018,1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10402,"Concentrated Milk",615311.5043641285
2018,1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10403,"Fermented Milk Products",985072.227055901
2018,1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10404,"Whey",1207835.71583928
2018,1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10406,"Cheese",725273.3861296285
2018,1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10409,"Honey",11097.596625850802
2018,1,"Animal Products",104,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",10410,"Other Edible Animal Products",12120.2945111256
2018,1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10501,"Human Hair",12100
2018,1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",5615268.994273678
2018,1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10507,"Raw Bones",194010
2018,1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",571138.8249660659
2018,1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10511,"Other Inedible Animal Products",1184746.2665224287
2018,2,"Vegetable Products",206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20601,"Bulbs and Roots",29927.4650849888
2018,2,"Vegetable Products",206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20602,"Other Live Plants",2478246.64393157
2018,2,"Vegetable Products",206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20603,"Cut Flowers",20311.329652113804
2018,2,"Vegetable Products",206,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20604,"Foliage",85241
2018,2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20703,"Onions",1918.00987961173
2018,2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20704,"Cabbages",2900
2018,2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20706,"Root Vegetables",9577
2018,2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",159280.637105974
2018,2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",59564.7305688181
2018,2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20711,"Preserved Vegetables",8243
2018,2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20712,"Dried Vegetables",264582.471885061
2018,2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",3253
2018,2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",34487.374311610605
2018,2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",1066.88978806209
2018,2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",16227912.831711495
2018,2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,"Tropical Fruits",5194.9227236509905
2018,2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,"Citrus",27520.116335685467
2018,2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,"Grapes",1610558.4602930702
2018,2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,"Other Fruits",10820
2018,2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,"Frozen Fruits and Nuts",187023
2018,2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20812,"Preserved Fruits and Nuts",1926.9999999999998
2018,2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",208326.18891706187
2018,2,"Vegetable Products",209,"Coffee, tea, mate and spices",20901,"Coffee",1225148.8048440737
2018,2,"Vegetable Products",209,"Coffee, tea, mate and spices",20902,"Tea",1269089.482089273
2018,2,"Vegetable Products",209,"Coffee, tea, mate and spices",20904,"Pepper",93111.3424280706
2018,2,"Vegetable Products",209,"Coffee, tea, mate and spices",20909,"Spice Seeds",2261
2018,2,"Vegetable Products",209,"Coffee, tea, mate and spices",20910,"Spices",270927.58511754114
2018,2,"Vegetable Products",210,"Cereals",21003,"Barley",28018
2018,2,"Vegetable Products",210,"Cereals",21005,"Corn",4506
2018,2,"Vegetable Products",210,"Cereals",21006,"Rice",71552.3249350214
2018,2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",2564328.18589889
2018,2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21102,"Cereal Flours",184587.846398887
2018,2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21103,"Cereal Meal and Pellets",2500
2018,2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21104,"Processed Cereals",31629.330345275368
2018,2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21105,"Potato Flours",1990.9999999999998
2018,2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21106,"Legume Flours",4449
2018,2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21107,"Malt",94488.99999999999
2018,2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21108,"Starches",49753.01119971482
2018,2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21201,"Soybeans",110760
2018,2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21207,"Other Oily Seeds",162497.65245550766
2018,2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21208,"Oil Seed Flower",1002000
2018,2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21209,"Sowing Seeds",15492306.609463898
2018,2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21211,"Perfume Plants",34878114.362935424
2018,2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2009.7195448350003
2018,2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21301,"Insect Resins",58503.6636402876
